Designator,Footprint,Quantity,Value,LCSC Part #
BTN1,SW_Push_1P1T_XKB_TS-1187A,1,TS-1187A-B-A-B,C318884
"C1, C2",0402,2,10uF,C15525
"C10, C13, C16, C17, C3, C4, C5, C6, C7, C8, C9",0402,11,100nF,C1525
"C11, C12",0402,2,1uF,C52923
"C14, C15",0402,2,20pF,C1554
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D7, D8, D9",D_SOD-123,67,1N4148W,C81598
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
"R1, R3",0402,2,5.1K,C25905
"R4, R5",0603,2,27,C13167
R6,0402,1,1KΩ,C11702
R7,0402,1,10kΩ,C25744
R8,0402,1,1K,C11702
"SW1, SW11, SW12, SW13, SW14, SW16, SW17, SW18, SW19, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW48, SW49, SW50, SW51, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW66, SW67, SW7, SW8, SW9",SW_MX_HS_CPG151101S11_1u,55,SW_Push,C41430893
"SW10, SW15, SW20, SW47, SW52",SW_MX_HS_CPG151101S11_1.25u,5,SW_Push,C41430893
"SW2, SW5",SW_MX_HS_CPG151101S11_1.5u,2,SW_Push,C41430893
SW29,SW_MX_HS_CPG151101S11_1u,1,Space,C41430893
SW3,SW_MX_HS_CPG151101S11_1.75u,1,SW_Push,C41430893
SW63,SW_MX_HS_CPG151101S11_1u,1,Yen,C41430893
SW64,SW_MX_HS_CPG151101S11_1u,1,Backspace,C41430893
SW65,SW_MX_HS_CPG151101S11_1u,1,ISOEnter,C41430893
U1,SOT-23-3,1,XC6206P332MR,C5446
U2,SOT-363-6_2P2X1P35_ONS,1,SMF05CT1G,C15879
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,W25Q16JVUXIQ_WIN,1,W25Q16JVUXIQ,C2843335
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI,C9002
