Designator,Footprint,Quantity,Value,LCSC Part #
BTN1,SW_Push_1P1T_XKB_TS-1187A,1,TS-1187A-B-A-B,
"C1, C2",0402,2,10uF,
"C10, C13, C16, C17, C3, C4, C5, C6, C7, C8, C9",0402,11,100nF,
"C11, C12",0402,2,1uF,
"C14, C15",0402,2,20pF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D7, D8, D9",D_SOD-123,67,1N4148W,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
"R1, R3",0402,2,5.1K,
"R4, R5",0603,2,27,
R6,0402,1,1KΩ,
R7,0402,1,10kΩ,
R8,0402,1,1K,
U1,SOT-23-3,1,XC6206P332MR,
U2,SOT-363-6_2P2X1P35_ONS,1,SMF05CT1G,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U4,W25Q16JVUXIQ_WIN,1,W25Q16JVUXIQ,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI,
