Designator,Mid X,Mid Y,Rotation,Layer
SW1,9.525,-9.525,180.0,top
SW10,40.48125,-85.725,0.0,top
SW11,47.625,-9.525,0.0,top
SW12,57.15,-28.575,0.0,top
SW13,61.9125,-47.625,0.0,top
SW14,66.675,-66.675,0.0,top
SW15,64.29375,-85.725,0.0,top
SW16,66.675,-9.525,0.0,top
SW17,76.2,-28.575,0.0,top
SW18,80.9625,-47.625,0.0,top
SW19,85.725,-66.675,0.0,top
SW2,14.2875,-28.575,0.0,top
SW20,88.10625,-85.725,0.0,top
SW21,85.725,-9.525,0.0,top
SW22,95.25,-28.575,0.0,top
SW23,100.0125,-47.625,0.0,top
SW24,104.775,-66.675,0.0,top
SW25,104.775,-9.525,0.0,top
SW26,114.3,-28.575,0.0,top
SW27,119.0625,-47.625,0.0,top
SW28,123.825,-66.675,0.0,top
SW29,128.5875,-85.725,180.0,top
SW3,16.66875,-47.625,0.0,top
SW30,123.825,-9.525,0.0,top
SW31,133.35,-28.575,0.0,top
SW32,138.1125,-47.625,0.0,top
SW33,142.875,-66.675,0.0,top
SW34,142.875,-9.525,0.0,top
SW35,152.4,-28.575,0.0,top
SW36,157.1625,-47.625,0.0,top
SW37,161.925,-66.675,0.0,top
SW38,161.925,-9.525,0.0,top
SW39,171.45,-28.575,0.0,top
SW4,19.05,-66.675,0.0,top
SW40,176.2125,-47.625,0.0,top
SW41,180.975,-66.675,0.0,top
SW42,169.06875,-85.725,0.0,top
SW43,180.975,-9.525,0.0,top
SW44,190.5,-28.575,0.0,top
SW45,195.2625,-47.625,0.0,top
SW46,200.025,-66.675,0.0,top
SW47,192.88125,-85.725,0.0,top
SW48,200.025,-9.525,0.0,top
SW49,209.55,-28.575,0.0,top
SW5,14.2875,-85.725,0.0,top
SW50,214.3125,-47.625,0.0,top
SW51,219.075,-66.675,0.0,top
SW52,216.69375,-85.725,0.0,top
SW53,219.075,-9.525,0.0,top
SW54,228.6,-28.575,0.0,top
SW55,233.3625,-47.625,0.0,top
SW56,238.125,-66.675,0.0,top
SW57,238.125,-85.725,0.0,top
SW58,238.125,-9.525,0.0,top
SW59,247.65,-28.575,0.0,top
SW6,28.575,-9.525,180.0,top
SW60,252.4125,-47.625,0.0,top
SW61,257.175,-66.675,0.0,top
SW62,257.175,-85.725,0.0,top
SW63,257.175,-9.525,0.0,top
SW64,276.225,-9.525,0.0,top
SW65,273.84375,-38.1,90.0,top
SW66,276.225,-66.675,0.0,top
SW67,276.225,-85.725,0.0,top
SW7,38.1,-28.575,0.0,top
SW8,42.8625,-47.625,0.0,top
SW9,47.625,-66.675,0.0,top
